Route,Year,Month,PeakMonth,PeakFlights,PrimaryEquipment,DistinctAircraft,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgTOW_kg,MaxTOW_kg,TotalTOW_kg,AvgFuelPerNM,AvgFuelPerHour,MedianFlightsPerMonth,FlightsAboveMedian,MedianAvgTOW_kg,AvgTOWIncreaseVsMedian,PeakStrategyGuess
VCP -> PMG,2024,1,2024-01-01,21,E1,2,50628,2410.8571428571427,500.6952380952381,6191.428571428572,36371.857142857145,47218,763809,4.809143941313223,1571.6334119684886,11.0,10.0,45684.375,-9312.517857142855,"More flights, little TOW increase"
VCP -> PMW,2025,7,2025-07-01,27,A320,3,115811,4289.2962962962965,789.0814814814815,7002.222222222223,67249.51851851853,71481,1815737,5.43591920243607,2206.1941554384284,20.0,7.0,65843.26086956522,1406.2576489533094,"More flights, little TOW increase"
VCP -> PNZ,2024,7,2024-07-01,28,A320,3,121471,4338.25,921.9142857142857,7917.857142857143,61460.607142857145,68840,1720897,4.705974028001877,1972.77228352408,17.0,11.0,55190.76470588235,6269.842436974795,More flights + heavier departures
VCP -> POA,2024,11,2024-11-01,195,A320,3,586827,3009.369230769231,499.7584615384615,4997.538461538462,62638.18974358974,69246,12214447,6.024611071912927,2173.5131891851165,144.0,51.0,62638.18974358974,0.0,"More flights, little TOW increase"
VCP -> PPB,2024,4,2024-04-01,91,ATR,2,70813,778.1648351648352,270.6054945054945,4428.791208791209,20544.395604395606,41987,1869540,2.871291489839911,639.9770832408368,43.0,48.0,36817.32558139535,-16272.929976999745,"More flights, little TOW increase"
VCP -> PTO,2024,10,2024-10-01,21,ATR,1,23927,1139.3809523809523,382.4761904761905,6140.0,21663.619047619046,22989,454936,2.9817790064612804,668.5578923596483,13.0,8.0,21762.5,-98.88095238095411,"More flights, little TOW increase"
VCP -> PVH,2024,1,2024-01-01,1,E1,1,6745,6745.0,1328.6,12000.0,45028.0,45028,45028,5.076772542525967,2023.5,1.0,0.0,57417.5,-12389.5,Relatively stable
VCP -> QNS,2024,8,2024-08-01,86,A320,1,256817,2986.2441860465115,490.10348837209307,4832.790697674419,67134.52325581395,69302,5773569,6.093967579339129,2225.9514970178866,60.5,25.5,67217.4635509839,-82.94029516994487,"More flights, little TOW increase"
VCP -> RAO,2024,7,2024-07-01,130,ATR,2,59416,457.04615384615386,142.39153846153846,2498.769230769231,20996.684615384616,40036,2729569,3.209750412178489,662.1351617942387,105.0,25.0,21910.464912280702,-913.7802968960859,"More flights, little TOW increase"
VCP -> REC,2025,7,2025-07-01,169,A321,3,1067652,6317.467455621302,1170.0952662721893,9597.15976331361,74631.27810650888,80873,12612686,5.398655930900369,2372.207335789333,135.0,34.0,74098.86428571428,532.4138207945944,"More flights, little TOW increase"
VCP -> RIA,2024,10,2024-10-01,26,ATR,1,43729,1681.8846153846155,566.2307692307693,9140.76923076923,22767.384615384617,22996,591952,2.97045948401711,662.7059352025638,10.5,15.5,22534.016666666666,233.36794871795064,"More flights, little TOW increase"
VCP -> ROO,2024,10,2024-10-01,18,E1,2,49208,2733.777777777778,613.9166666666666,7396.666666666667,35575.666666666664,47681,640362,4.455535640751856,1514.752418691329,9.0,9.0,48347.666666666664,-12772.0,"More flights, little TOW increase"
VCP -> RVD,2024,4,2024-04-01,45,ATR,1,47553,1056.7333333333333,395.9555555555556,6333.333333333333,20751.222222222223,22593,933805,2.6736271988319333,600.5967443566568,25.0,20.0,21253.32,-502.0977777777771,"More flights, little TOW increase"
VCP -> SDU,2024,9,2024-09-01,194,E1,2,327548,1688.3917525773195,251.27680412371132,2759.0721649484535,43080.73195876289,45346,8357662,6.715356588208761,2208.302005491384,120.0,74.0,42986.681818181816,94.0501405810719,"More flights, little TOW increase"
VCP -> SJP,2025,10,2025-10-01,137,ATR,4,99527,726.4744525547445,210.56350364963504,3428.7591240875913,23114.554744525547,54891,3166694,3.4160324361897714,787.7521534585079,105.0,32.0,21577.434782608696,1537.119961916851,"More flights, little TOW increase"
VCP -> SLZ,2025,8,2025-08-01,29,A320,2,185382,6392.482758620689,1244.0862068965516,10543.448275862069,70079.89655172414,79025,2032317,5.1383271958159265,2182.36489787976,22.0,7.0,68303.29411764706,1776.6024340770819,"More flights, little TOW increase"
VCP -> SOD,2024,2,2024-02-01,2,E2,1,811,405.5,49.75,870.0,42030.0,42075,84060,8.279571683125447,1746.212121212121,1.0,1.0,40154.0,1876.0,Relatively stable
VCP -> SSA,2025,9,2025-09-01,115,A320,4,453037,3939.4521739130437,804.7782608695652,6827.478260869565,63755.1652173913,74428,7331844,4.894435087210179,2078.9870984796544,92.0,23.0,63136.86486486487,618.3003525264357,"More flights, little TOW increase"
VCP -> STM,2024,5,2024-05-01,1,E1,1,8501,8501.0,1750.1,15300.0,47117.0,47117,47117,4.857436717901835,2000.235294117647,1.0,0.0,47117.0,0.0,Relatively stable
VCP -> TEC,2025,2,2025-02-01,2,ATR,1,1177,588.5,223.5,3480.0,18417.0,19168,36834,2.633033033033033,609.2857142857142,2.0,0.0,18176.5,240.5,Relatively stable
VCP -> TFF,2025,3,2025-03-01,1,E1,1,7009,7009.0,1593.2,13680.0,42883.0,42883,42883,4.399322119005775,1844.4736842105262,1.0,0.0,42883.0,0.0,Relatively stable
VCP -> THE,2024,12,2024-12-01,30,A320,2,170909,5696.966666666666,1118.8766666666668,9256.0,70438.6,72028,2113158,5.091942078215045,2216.9504018918456,22.0,8.0,68976.81481481482,1461.7851851851883,"More flights, little TOW increase"
VCP -> TJL,2024,3,2024-03-01,24,ATR,1,20794,866.4166666666666,318.0416666666667,5127.5,20762.291666666668,22849,498295,2.72066227397991,609.3764832028261,19.0,5.0,20960.041666666668,-197.75,"More flights, little TOW increase"
VCP -> UBA,2024,10,2024-10-01,28,ATR,1,18137,647.75,218.78571428571428,3572.1428571428573,20628.928571428572,22441,577610,2.954933333029385,652.2746195332913,21.5,6.5,20812.576203208555,-183.64763177998248,"More flights, little TOW increase"
VCP -> UDI,2025,9,2025-09-01,108,ATR,3,109376,1012.7407407407408,275.6268518518519,4043.8888888888887,26134.37962962963,58119,2822513,3.6866473347385496,1008.4081914677371,57.0,51.0,38425.57894736842,-12291.199317738789,"More flights, little TOW increase"
VCP -> UNA,2024,4,2024-04-01,4,A320,1,13390,3347.5,682.475,5910.0,61310.0,67928,245240,4.904177810340025,2039.6870945941637,3.0,1.0,56628.5,4681.5,"Heavier departures, little frequency increase"
VCP -> VCP,2024,5,2024-05-01,17,A320,3,73261,4309.470588235294,808.3882352941176,9402.35294117647,50249.05882352941,70027,854234,5.215778765969124,1724.1568438924796,4.0,13.0,40422.5,9826.558823529413,More flights + heavier departures
VCP -> VDC,2024,7,2024-07-01,1,ATR,1,1502,1502.0,624.0,10080.0,18113.0,18113,18113,2.407051282051282,536.4285714285714,1.0,0.0,43753.5,-25640.5,Relatively stable
VCP -> VIX,2024,7,2024-07-01,100,A320,4,251028,2510.28,471.67699999999996,4190.4,60735.83,72124,6073583,5.327969131439902,2162.7197172862893,78.0,22.0,63718.333333333336,-2982.503333333334,"More flights, little TOW increase"
VCP -> XAP,2024,8,2024-08-01,60,A320,4,160169,2669.483333333333,425.8,4485.0,61660.13333333333,68586,3699608,6.301796925026614,2188.5090328030233,35.0,25.0,55798.181818181816,5861.951515151515,More flights + heavier departures
VDC -> CNF,2025,7,2025-07-01,41,E2,3,65952,1608.5853658536585,349.2317073170732,4248.292682926829,38652.07317073171,52982,1584735,4.607930482890719,1501.0147825736992,27.0,14.0,39845.583333333336,-1193.5101626016258,"More flights, little TOW increase"
VDC -> REC,2025,5,2025-05-01,1,ATR,1,1311,1311.0,557.0,7800.0,16878.0,16878,16878,2.3536804308797126,605.0769230769231,1.0,0.0,16878.0,0.0,Relatively stable
VDC -> VCP,2024,7,2024-07-01,1,ATR,1,1567,1567.0,626.0,9000.0,16736.0,16736,16736,2.5031948881789137,626.8,1.0,0.0,16736.0,0.0,Relatively stable
VIX -> CNF,2025,9,2025-09-01,123,E1,4,219720,1786.341463414634,251.5,2843.4146341463415,43577.89430894309,58469,5360081,7.100606481596525,2269.2440274511464,84.0,39.0,45282.56756756757,-1704.6732586244761,"More flights, little TOW increase"
VIX -> REC,2025,7,2025-07-01,32,A320,1,132073,4127.28125,823.221875,7162.5,63893.15625,69323,2044581,5.012927795833413,2076.298384825747,26.0,6.0,65651.75,-1758.59375,"More flights, little TOW increase"
VIX -> VCP,2024,7,2024-07-01,102,A320,4,306361,3003.5392156862745,482.93039215686275,5040.588235294118,59793.529411764706,74505,6098940,6.219660829758806,2149.424495392803,79.0,23.0,61021.207792207795,-1227.6783804430888,"More flights, little TOW increase"
XAP -> VCP,2024,8,2024-08-01,70,A320,3,157951,2256.442857142857,411.74857142857144,3850.285714285714,58063.08571428571,65320,4064416,5.480693268856926,2126.1835960815774,43.0,27.0,53378.825,4684.260714285716,More flights + heavier departures
