Route,ActiveMonths,TotalFlights,AvgFlightsPerMonth,StdFlightsPerMonth,CoeffVarFlights,PeakMonth,PeakFlights,TroughMonth,TroughFlights,PeakMinusTrough,PeakToTroughRatio,SeasonalityIndex,AvgMonthlyTOW_kg,PeakMonthAvgTOW_kg,TroughMonthAvgTOW_kg,PeakMonthTotalTOW_kg,TroughMonthTotalTOW_kg,VolatilityScore
BPS -> CNF,23,1819,79.08695652173913,21.76337778186949,0.27518289663716233,2025-07-01,123,2025-11-01,35,88,3.5142857142857142,0.22645027129096254,55939.13093913678,50391.829268292684,56460.22857142857,6198195,1976108,19.377849241999016
VCP -> MGF,23,1504,65.3913043478261,18.860446604594593,0.2884243829160077,2025-09-01,100,2025-11-01,17,83,5.882352941176471,0.22808741905642924,31753.397223648288,24751.93,36313.117647058825,2475193,617323,19.225482805399942
CNF -> JPA,23,419,18.217391304347824,9.61410432075496,0.5277431966046876,2025-01-01,40,2024-04-01,4,36,10.0,0.41714226419010075,64820.546364105816,64452.2,52348.75,2578088,209395,19.1262199778164
CNF -> RAO,18,657,36.5,14.637281168304447,0.4010214018713547,2025-09-01,54,2024-03-01,1,53,54.0,0.28767123287671237,22852.80513091145,20900.0,21037.0,1128600,21037,18.945103192519493
REC -> CNF,23,3026,131.56521739130434,27.24737895165973,0.20710169064381156,2025-03-01,177,2025-11-01,52,125,3.4038461538461537,0.16236098738469495,65541.09134325969,64706.09039548023,69856.21153846153,11452978,3632523,18.559228224112285
SJP -> CNF,17,653,38.411764705882355,15.05698518190697,0.3919888944753729,2025-07-01,54,2024-04-01,1,53,54.0,0.2967300243221332,20703.60181883181,19849.666666666668,17248.0,1071882,17248,18.50098754990678
MAO -> VCP,23,1863,81.0,20.338440793557492,0.25109186164885794,2024-05-01,125,2025-11-01,30,95,4.166666666666667,0.18894256575416,69669.17581151395,61931.136,72394.03333333334,7741392,2171821,18.42965046263226
CNF -> MCZ,23,896,38.95652173913044,14.232474381924462,0.3653425343574359,2025-01-01,69,2024-02-01,14,55,4.928571428571429,0.3205551242236025,62700.261554486584,63204.47826086957,59902.0,4361109,838628,18.4217206067568
CNF -> REC,23,2985,129.7826086956522,27.462158187679673,0.21160121886654354,2025-03-01,168,2025-11-01,53,115,3.169811320754717,0.17274779695579348,64018.3210001176,62821.39880952381,64948.67924528302,10553995,3442280,18.157197018137417
POA -> CNF,19,658,34.63157894736842,13.769571817352965,0.39760161782630143,2024-11-01,53,2024-05-01,4,49,13.25,0.33258678611422177,63530.294127644134,66577.39622641509,58194.25,3528602,232777,18.065055247270124
CNF -> VIX,23,1752,76.17391304347827,20.15732076294527,0.26462236161400754,2025-09-01,121,2024-01-01,38,83,3.1842105263157894,0.21396664681357952,44642.12963955756,43967.371900826445,43396.71052631579,5320052,1649075,18.00665004170415
MGF -> VCP,23,1534,66.69565217391305,18.209970471548523,0.27303084800887617,2025-09-01,98,2025-11-01,19,79,5.157894736842105,0.21897851595714532,31391.913342331743,24433.01020408163,36275.36842105263,2394435,689232,17.803340462041596
CNF -> GYN,23,1063,46.21739130434783,14.258350784987389,0.3085061787908842,2024-10-01,80,2025-11-01,15,65,5.333333333333333,0.2285574052108471,50970.86188703229,46935.575,51067.0,3754846,766005,17.335655964960438
REC -> GIG,23,2283,99.26086956521739,21.195195089831806,0.21353021772498096,2024-07-01,142,2025-11-01,35,107,4.057142857142857,0.16458130987068886,70208.2651943047,68058.9014084507,69583.22857142857,9664364,2435413,17.08195723856539
