Route,Recommendation,Months,TotalFlights,AvgFlightsPctVsMedian,AvgTOWPctVsMedian,AvgPriorityScore
CNF -> GNM,Maintain current assignment,20,404,-0.08181818181818182,-0.005191705738096257,3.1233135767035027
PTO -> VCP,Maintain current assignment,13,165,-0.09340659340659342,-0.0019086133875906427,3.11328097850243
CNF -> POJ,Maintain current assignment,20,179,-0.10499999999999998,-0.005317798458994672,3.091332856113426
VCP -> JPA,Maintain current assignment,18,380,-0.08212560386473429,-0.007362878515539051,3.08764924396798
AJU -> CNF,Strong review for smaller aircraft,1,7,-0.7083333333333334,0.12435191224777614,3.083010262875645
MCZ -> REC,Review smaller aircraft,3,171,-0.3048780487804878,0.11682842212149874,3.074991508951698
CNF -> MAO,Maintain current assignment,17,388,-0.104959630911188,-0.005093479996286149,3.031433115270816
MCP -> VCP,Maintain current assignment,2,2,0.0,0.0,3.001811913398396
VCP -> JTC,Review smaller aircraft,1,24,-0.3684210526315789,0.09577974543762109,2.9865709261215114
REC -> CNF,Strong review for smaller aircraft,1,52,-0.6176470588235294,0.07403882549273019,2.9816788198647703
BEL -> VCP,Maintain current assignment,23,1640,-0.049275362318840575,0.015069129010542963,2.903555815537634
THE -> CNF,Review smaller aircraft,1,10,-0.4444444444444444,0.06270281570103081,2.894941960294827
GYN -> REC,Maintain current assignment,16,778,-0.13169642857142858,0.0005773364744402318,2.8807233711211455
VCP -> EZE,Maintain current assignment,2,2,0.0,0.0,2.818661621190997
CNF -> CPV,Review smaller aircraft,1,3,-0.4,0.14006316122844714,2.805529737430716
GNM -> CNF,Maintain current assignment,21,431,-0.0670995670995671,0.0018983134158916323,2.788725109946889
CNF -> UNA,Strong review for smaller aircraft,1,1,-0.6666666666666666,0.3226631591951224,2.7827383347309316
BRC -> VCP,Strong review for smaller aircraft,1,2,-0.8571428571428571,0.04135345244138902,2.782202709178487
VCP -> GRU,Current seasonal downgauge appears justified,5,12,-0.4,-0.19178681881496157,2.773034092879672
VCP -> TJL,Maintain current assignment,12,205,-0.10087719298245613,0.005757445888275388,2.7715617420785867
AJU -> CNF,Maintain current assignment,12,260,-0.09722222222222222,0.038415425286989456,2.752911495109639
TJL -> VCP,Maintain current assignment,12,207,-0.09210526315789473,0.005707855494251883,2.744831332172541
REC -> SJP,Maintain current assignment,21,176,-0.1619047619047619,-0.0035036371552710018,2.7323526285546915
ARU -> VCP,Maintain current assignment,15,382,-0.12183908045977013,0.00608010673772184,2.7260437689753845
BRA -> CNF,Maintain current assignment,18,422,-0.09829059829059829,-0.0028745401889467346,2.653663577639261
VCP -> EEA,Maintain current assignment,10,142,-0.05333333333333333,0.008487712434026769,2.6333157450340154
VCP -> MCZ,Maintain current assignment,18,663,-0.12301587301587302,0.00875175239037593,2.6123599135937585
PMW -> CNF,Review smaller aircraft,1,10,-0.375,0.2584545324232834,2.6090624212449227
VCP -> CMG,Maintain current assignment,14,103,-0.019047619047619046,0.03864057916995544,2.6005559378803182
IZA -> VCP,Strong review for smaller aircraft,1,11,-0.6071428571428571,0.056332704966877374,2.5565850257001066
FEC -> REC,Maintain current assignment,6,81,-0.03571428571428572,0.0035072471100093647,2.546875307604313
