Route,Year,Month,MonthStart,Flights,PrimaryAircraft,DistinctAircraft,AvgTOW_kg,MedianTOW_kg,MaxTOW_kg,MinTOW_kg,TotalTOW_kg,FuelBurnKg,AvgFuelBurnKg,AvgDistanceNM,AvgTripTimeSec,AvgFuelPerNM,AvgFuelPerHour,FuelPerFlightKg,TowRegime,TowRegimeRank,RegimeDistanceKg,MedianMonthlyFlights,AvgMonthlyFlights,StdMonthlyFlights,MedianRouteAvgTOW_kg,MedianTowRegimeRank,MedianRouteFuelPerNM,FlightsAboveMedian,FlightsPctVsMedian,AvgTOWAboveMedian_kg,AvgTOWPctVsMedian,RegimeRankShiftVsMedian,FuelPerNMPctVsRouteMedian
AAX -> CNF,2024,6,2024-06-01,6,ATR,2,21235.0,19922.5,34932,15858,127410,3752,625.3333333333334,186.35,3010.0,3.3455377548408465,805.0172193583958,625.3333333333334,ATR,0,0.0,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,-1.0,-0.14285714285714285,1878.3666666666686,0.0970399466849436,0.0,0.20141975664271844
AAX -> CNF,2024,7,2024-07-01,12,ATR,1,18933.083333333332,18886.0,20442,17015,227197,6515,542.9166666666666,198.08333333333334,3230.0,2.747585695382615,606.2000510907536,542.9166666666666,Nearest: ATR,0,-2291.916666666668,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,5.0,0.7142857142857143,-423.5499999999993,-0.021881387775766755,0.0,-0.013311467573430328
AAX -> CNF,2024,8,2024-08-01,10,ATR,1,19652.5,19972.5,21523,18028,196525,5587,558.7,197.0,3168.0,2.844982880679318,636.2887086792767,558.7,ATR,0,0.0,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,3.0,0.42857142857142855,295.8666666666686,0.015285027182757434,0.0,0.02166494316578044
AAX -> CNF,2024,9,2024-09-01,8,ATR,1,19021.25,19050.5,20092,18145,152170,4536,567.0,205.625,3315.0,2.759020581737244,615.7595355293411,567.0,ATR,0,0.0,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,1.0,0.14285714285714285,-335.3833333333314,-0.017326532334307348,0.0,-0.009205072910408719
AAX -> CNF,2024,10,2024-10-01,10,ATR,1,19352.6,19419.5,21174,17185,193526,5709,570.9,205.2,3222.0,2.788806427822498,638.6604457441756,570.9,ATR,0,0.0,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,3.0,0.42857142857142855,-4.033333333332848,-0.00020836956839943838,0.0,0.0014913551610913956
AAX -> CNF,2024,11,2024-11-01,6,ATR,1,19378.0,19149.5,20773,18138,116268,3535,589.1666666666666,210.83333333333334,3320.0,2.817316536347228,645.9609537810899,589.1666666666666,ATR,0,0.0,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,-1.0,-0.14285714285714285,21.366666666668607,0.0011038420937526296,0.0,0.011729651708806774
AAX -> CNF,2024,12,2024-12-01,12,ATR,1,19697.916666666668,19877.0,22290,17526,236375,7108,592.3333333333334,213.16666666666666,3360.0,2.7805006130234293,637.3225938630161,592.3333333333334,ATR,0,0.0,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,5.0,0.7142857142857143,341.2833333333365,0.017631337405437406,0.0,-0.0014913551610915552
AAX -> CNF,2025,1,2025-01-01,9,ATR,1,20524.11111111111,20866.0,21902,19267,184717,5302,589.1111111111111,206.33333333333334,3306.6666666666665,2.860780546563655,641.9099741240277,589.1111111111111,ATR,0,0.0,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,2.0,0.2857142857142857,1167.477777777778,0.060314092728476106,0.0,0.02733806040226074
AAX -> CNF,2025,2,2025-02-01,11,ATR,1,19215.454545454544,19285.0,20674,18457,211370,6128,557.0909090909091,191.0909090909091,3130.909090909091,2.916958534887529,641.450265179619,557.0909090909091,ATR,0,0.0,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,4.0,0.5714285714285714,-141.17878787878726,-0.007293561098544372,0.0,0.047512199810218855
AAX -> CNF,2025,3,2025-03-01,4,ATR,1,19641.0,19654.5,20504,18751,78564,2140,535.0,199.0,3195.0,2.6920659688327833,605.3405207383415,535.0,ATR,0,0.0,7.0,7.611111111111111,2.6153143751843206,19356.63333333333,0.0,2.784653520422964,-3.0,-0.42857142857142855,284.3666666666686,0.01469091560343665,0.0,-0.03324921786898551
