Route,MonthsObserved,RegimesObserved,FirstRegime,LastRegime,MinAvgTOW,MaxAvgTOW,DeltaTOW
THE -> REC,23,3,E2,Outside Normal Regimes,46327.71428571428,63585.52173913043,17257.80745341615
VCP -> EZE,2,2,E1,Outside Normal Regimes,41668.0,58914.0,17246.0
MVD -> REC,23,2,Outside Normal Regimes,Outside Normal Regimes,55316.8,72444.8,17128.0
CPV -> CNF,23,3,A320,E2,49410.21428571428,66499.5,17089.285714285717
REC -> SSA,23,3,Outside Normal Regimes,E2,38926.79268292683,55982.05263157895,17055.259948652114
EZE -> CNF,2,2,E2,A320,53285.0,70174.16666666667,16889.16666666667
ROO -> VCP,23,3,E2,E1,34417.94736842105,51096.5,16678.552631578947
UNA -> VCP,4,2,E1,Outside Normal Regimes,44458.333333333336,61041.333333333336,16583.0
CNF -> MAB,23,3,Outside Normal Regimes,A320,54267.0,70820.52173913043,16553.521739130432
PMW -> CNF,23,4,E2,A320,45993.8125,62253.0,16259.1875
PNZ -> VCP,22,3,E2,Outside Normal Regimes,48352.0,64557.77777777778,16205.777777777781
REC -> JTC,7,2,A320,Outside Normal Regimes,56332.5,72526.0,16193.5
REC -> CWB,7,3,A320,E2,53620.0,69709.33333333333,16089.333333333328
VCP -> CGH,21,2,Outside Normal Regimes,E1,32313.25,48365.666666666664,16052.416666666664
CWB -> REC,7,3,A320,E2,53565.0,69596.25,16031.25
CNF -> AJU,23,3,Outside Normal Regimes,A320,53055.11111111111,68732.11111111111,15677.0
POA -> REC,17,3,A320,Outside Normal Regimes,55169.194444444445,70749.5,15580.305555555555
CGB -> CNF,23,3,Outside Normal Regimes,E2,46872.13333333333,62311.666666666664,15439.533333333333
MAO -> VCP,23,3,A320,Outside Normal Regimes,59634.64035087719,74512.16176470589,14877.521413828697
CGH -> VCP,19,3,Outside Normal Regimes,Outside Normal Regimes,34527.333333333336,49385.0,14857.666666666664
THE -> CNF,23,3,Outside Normal Regimes,Outside Normal Regimes,51936.117647058825,66673.63636363637,14737.518716577542
XAP -> VCP,23,3,E2,E2,46776.67647058824,61457.0,14680.323529411762
BPS -> CNF,23,3,A320,Outside Normal Regimes,48110.0,62698.015384615384,14588.015384615384
MAB -> CNF,23,3,E2,A320,52414.25,66739.6,14325.350000000006
IGU -> REC,5,2,Outside Normal Regimes,A320,56867.0,70672.33333333333,13805.333333333328
JDO -> VCP,23,3,Outside Normal Regimes,Outside Normal Regimes,54792.07142857143,68435.38461538461,13643.313186813182
VCP -> BPS,23,3,A320,A320,53794.666666666664,67285.14893617021,13490.482269503547
AJU -> CNF,23,3,Outside Normal Regimes,A320,51655.1,65139.857142857145,13484.757142857146
VCP -> JDO,22,3,Outside Normal Regimes,Outside Normal Regimes,54054.117647058825,67426.1,13371.98235294118
VCP -> CAC,23,3,Outside Normal Regimes,E2,39246.08108108108,52587.36,13341.27891891892
JTC -> REC,7,3,A320,E2,52349.4,65646.0,13296.599999999999
VCP -> FLN,23,3,Outside Normal Regimes,E2,47936.34042553192,61201.32191780822,13264.981492276303
VCP -> GIG,23,3,Outside Normal Regimes,Outside Normal Regimes,40148.84810126582,53352.24742268041,13203.399321414588
VCP -> AJU,23,3,Outside Normal Regimes,Outside Normal Regimes,54873.0,67886.36842105263,13013.368421052626
IOS -> VCP,23,3,A320,Outside Normal Regimes,52866.269230769234,65590.875,12724.605769230766
